symbol,subsector
NVDA,logic_compute
AMD,logic_compute
INTC,logic_compute
AVGO,logic_compute
QCOM,logic_compute
TXN,logic_compute
ADI,logic_compute
MRVL,logic_compute
NXPI,logic_compute
MCHP,logic_compute
MU,memory_storage
WDC,memory_storage
STX,memory_storage
SNDK,memory_storage
TSM,foundry
GFS,foundry
UMC,foundry
STM,foundry
ASX,foundry
AMAT,equipment
LRCX,equipment
KLAC,equipment
ASML,equipment
TER,equipment
ENTG,equipment
ONTO,equipment
AEIS,equipment
ACLS,equipment
ON,analog_power_rf
MPWR,analog_power_rf
SWKS,analog_power_rf
QRVO,analog_power_rf
LSCC,analog_power_rf
SNPS,eda_ip
CDNS,eda_ip
ARM,eda_ip
SMCI,ai_systems_networking
DELL,ai_systems_networking
ANET,ai_systems_networking
VRT,ai_systems_networking
CIEN,ai_systems_networking
COHR,ai_systems_networking
LITE,ai_systems_networking
MSFT,ai_platform
GOOGL,ai_platform
AMZN,ai_platform
META,ai_platform
ORCL,ai_platform
PLTR,ai_platform
NOW,ai_platform
CRM,ai_platform
ALAB,emerging_silicon
CRDO,emerging_silicon
